Id,Name,Department,Employment Date,Salary
1,Alina Plug,IT,2018-01-01,9800
2,Alexandra Grei,HR,2020-02-03,9000
3,Maria Califat,SALES,2019-04-06,9250
4,Ionel Pacate,FMG,2010-09-17,8000
5,Marin Pelin,SALES,2010-11-14,6700
6,Ioana Zavor,TRAINER,2015-05-22,8750
7,Alin Breda,SALES,2014-03-21,6000
8,Sorin Groza,IT,2017-08-14,5000
9,Violeta Gligor,PROJECT MANAGER,2015-12-01,12000
10,Ionel Bulbuc,TRAINER,2015-05-22,8400
11,Tipeu Lora,HR,2018-05-08,7300
12,George Samson,IT,2011-03-17,6500
13,Cristian Bibo,SALES,2017-07-20,6800
